date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,id
2020-01-01,24.7,6.4,15.0,0.0,0.0,18.2,19.36,0
2020-01-02,21.9,10.4,15.2,0.0,0.0,19.8,18.18,1
2020-01-03,23.8,6.7,14.2,0.0,0.0,16.6,18.19,2
2020-01-04,17.7,5.8,10.4,0.0,0.0,20.2,18.17,3
2020-01-05,21.7,4.9,11.8,0.0,0.0,11.3,19.99,4
2020-01-06,24.1,6.1,14.4,0.0,0.0,8.4,20.21,5
2020-01-07,20.3,5.9,14.2,0.0,0.0,17.4,20.4,6
2020-01-08,21.9,4.5,12.5,0.0,0.0,15.0,19.79,7
2020-01-09,23.9,6.4,14.3,0.0,0.0,17.4,19.97,8
2020-01-10,24.8,4.6,14.2,0.0,0.0,14.5,20.56,9
2020-01-11,23.6,7.4,15.5,0.0,0.0,19.8,20.36,10
2020-01-12,23.8,6.2,14.8,0.0,0.0,13.4,20.1,11
2020-01-13,23.9,10.4,16.7,0.0,0.0,13.0,20.11,12
2020-01-14,24.3,9.4,16.5,0.0,0.0,17.8,19.65,13
2020-01-15,23.9,9.7,16.3,0.1,1.0,15.2,17.37,14
2020-01-16,22.7,12.2,16.2,0.7,5.0,21.9,17.24,15
2020-01-17,23.5,10.5,15.4,0.0,0.0,19.4,18.4,16
2020-01-18,22.2,10.5,15.5,2.5,3.0,25.0,16.9,17
2020-01-19,17.4,10.9,13.1,16.3,16.0,19.3,9.84,18
2020-01-20,16.5,7.5,11.6,1.3,7.0,15.8,10.77,19
2020-01-21,17.1,3.7,9.6,0.1,1.0,10.9,17.9,20
2020-01-22,20.8,4.0,12.6,0.0,0.0,13.8,20.81,21
2020-01-23,19.2,5.8,12.1,0.1,1.0,20.5,14.1,22
2020-01-24,18.5,9.5,13.1,0.0,0.0,21.6,14.56,23
2020-01-25,21.8,5.8,13.4,0.0,0.0,13.7,18.28,24
2020-01-26,21.1,5.6,13.2,0.0,0.0,16.6,18.21,25
2020-01-27,23.3,7.1,14.1,0.0,0.0,15.6,21.75,26
2020-01-28,23.1,2.5,12.8,0.0,0.0,13.0,21.91,27
2020-01-29,23.8,6.6,14.1,0.0,0.0,16.1,21.95,28
2020-01-30,22.5,5.5,13.6,0.0,0.0,16.6,20.66,29
2020-01-31,22.8,7.0,14.7,0.0,0.0,21.1,17.79,30
2020-02-01,19.9,6.9,12.4,0.0,0.0,25.0,17.22,31
2020-02-02,22.0,8.0,14.1,0.0,0.0,9.7,13.09,32
2020-02-03,23.1,6.7,14.6,0.0,0.0,21.7,20.67,33
2020-02-04,22.7,7.1,15.1,0.0,0.0,19.5,18.0,34
2020-02-05,19.7,8.7,14.3,2.2,7.0,18.7,11.69,35
2020-02-06,24.8,9.2,16.0,2.2,5.0,16.4,21.77,36
2020-02-07,26.3,5.5,15.1,0.0,0.0,17.8,21.55,37
2020-02-08,25.8,5.8,15.4,0.0,0.0,15.2,23.38,38
2020-02-09,26.1,6.5,16.2,0.0,0.0,12.3,22.85,39
2020-02-10,27.7,11.1,18.3,0.0,0.0,19.6,22.16,40
2020-02-11,27.3,13.3,19.4,0.0,0.0,19.6,22.92,41
2020-02-12,26.2,8.0,16.3,0.0,0.0,17.3,23.75,42
2020-02-13,24.7,8.7,16.2,0.4,2.0,22.9,22.28,43
2020-02-14,23.8,7.7,15.0,0.4,4.0,18.1,21.38,44
2020-02-15,25.6,7.2,16.2,0.0,0.0,20.8,22.76,45
2020-02-16,27.8,10.8,19.2,0.0,0.0,17.9,24.26,46
2020-02-17,28.2,11.2,19.3,0.0,0.0,10.5,25.16,47
2020-02-18,29.2,9.8,19.7,0.0,0.0,14.5,24.85,48
2020-02-19,27.6,12.7,19.7,0.0,0.0,19.7,25.02,49
2020-02-20,27.5,9.7,17.1,0.0,0.0,27.4,25.01,50
2020-02-21,23.1,9.5,15.1,0.0,0.0,26.2,19.54,51
2020-02-22,26.1,7.0,16.0,0.0,0.0,14.1,23.17,52
2020-02-23,27.9,9.8,19.4,0.0,0.0,20.8,23.62,53
2020-02-24,30.1,13.1,20.6,0.0,0.0,17.4,24.81,54
2020-02-25,28.0,7.9,18.1,0.0,0.0,20.4,25.34,55
2020-02-26,22.0,3.7,14.2,0.0,0.0,29.4,23.91,56
2020-02-27,23.7,2.0,12.4,0.0,0.0,21.7,23.3,57
2020-02-28,24.7,11.7,16.9,0.0,0.0,27.4,22.5,58
2020-02-29,27.3,7.0,16.9,0.0,0.0,17.5,24.87,59
2020-03-01,28.5,8.7,18.8,0.0,0.0,10.1,22.76,60
2020-03-02,28.5,10.8,19.3,0.0,0.0,17.5,21.75,61
2020-03-03,27.6,9.5,18.4,0.0,0.0,20.5,25.99,62
2020-03-04,28.3,6.8,18.2,0.0,0.0,15.3,26.18,63
2020-03-05,27.3,11.0,17.7,0.0,0.0,28.0,23.87,64
2020-03-06,23.2,7.3,13.1,0.0,0.0,19.4,21.75,65
2020-03-07,25.2,5.5,14.1,0.0,0.0,21.4,23.53,66
2020-03-08,26.3,8.0,16.2,0.0,0.0,23.7,25.74,67
2020-03-09,27.5,8.6,17.9,0.0,0.0,20.6,25.31,68
2020-03-10,26.8,9.4,17.5,0.1,1.0,19.9,23.6,69
2020-03-11,26.4,11.2,18.3,0.0,0.0,16.4,21.34,70
2020-03-12,28.4,10.8,20.5,0.0,0.0,17.2,22.75,71
2020-03-13,27.4,13.0,20.7,0.0,0.0,19.9,22.12,72
2020-03-14,28.8,12.8,19.9,0.1,1.0,23.1,23.21,73
2020-03-15,27.5,13.1,19.7,0.1,1.0,25.4,23.23,74
2020-03-16,25.1,12.3,16.8,4.2,4.0,20.8,19.27,75
2020-03-17,25.0,10.2,17.9,0.0,0.0,12.8,23.4,76
2020-03-18,25.5,10.4,17.9,0.1,1.0,22.8,20.19,77
2020-03-19,28.3,11.6,19.8,0.3,2.0,21.9,24.23,78
2020-03-20,28.5,12.2,20.1,0.4,2.0,23.5,24.89,79
2020-03-21,25.3,13.4,18.7,1.7,6.0,17.3,21.81,80
2020-03-22,28.6,10.8,19.1,0.0,0.0,16.8,27.13,81
2020-03-23,28.9,11.5,20.3,0.0,0.0,14.6,28.8,82
2020-03-24,30.9,11.5,21.5,0.0,0.0,18.8,28.81,83
2020-03-25,31.1,15.0,22.7,0.0,0.0,11.3,28.8,84
2020-03-26,31.5,13.8,21.9,0.0,0.0,22.2,28.89,85
2020-03-27,31.2,9.3,20.1,0.0,0.0,25.6,29.04,86
2020-03-28,30.4,11.0,20.7,0.0,0.0,25.3,28.02,87
2020-03-29,29.7,12.6,20.5,0.0,0.0,24.7,28.4,88
2020-03-30,29.5,12.8,21.2,0.0,0.0,11.9,28.86,89
2020-03-31,29.4,13.6,21.0,0.0,0.0,28.0,28.75,90
2020-04-01,27.2,12.0,19.7,0.4,2.0,17.4,25.39,91
2020-04-02,27.0,13.7,20.1,0.2,2.0,16.6,22.08,92
2020-04-03,24.4,12.6,18.6,0.7,5.0,18.6,18.74,93
2020-04-04,25.8,10.5,18.9,0.0,0.0,12.1,20.87,94
2020-04-05,29.9,12.5,20.2,0.0,0.0,24.7,23.88,95
2020-04-06,28.5,10.7,20.0,0.0,0.0,16.8,24.26,96
2020-04-07,26.8,13.0,20.3,0.0,0.0,13.5,21.59,97
2020-04-08,28.0,12.5,20.8,0.1,1.0,16.4,23.99,98
2020-04-09,29.0,13.1,20.9,0.0,0.0,21.7,24.43,99
2020-04-10,29.0,12.6,21.1,0.2,1.0,16.2,26.62,100
2020-04-11,31.4,12.3,21.4,0.0,0.0,23.0,28.56,101
2020-04-12,30.1,12.2,21.3,0.0,0.0,18.1,27.88,102
2020-04-13,30.7,11.1,21.0,0.0,0.0,17.7,28.47,103
2020-04-14,31.3,14.0,22.4,0.0,0.0,17.9,28.2,104
2020-04-15,27.7,14.3,21.1,0.0,0.0,19.6,22.69,105
2020-04-16,30.1,12.7,21.2,0.4,1.0,18.4,25.4,106
2020-04-17,29.2,13.9,21.1,0.0,0.0,17.2,24.02,107
2020-04-18,29.7,13.7,21.3,0.2,1.0,18.7,25.17,108
2020-04-19,29.5,12.3,20.8,0.0,0.0,18.2,24.29,109
2020-04-20,29.9,13.3,21.6,0.1,1.0,20.7,26.14,110
2020-04-21,28.3,13.6,20.8,0.4,1.0,18.9,21.05,111
2020-04-22,29.4,13.4,20.6,1.6,1.0,16.1,22.82,112
2020-04-23,28.5,13.3,21.0,0.0,0.0,13.1,22.98,113
2020-04-24,28.7,14.0,21.3,0.3,2.0,18.3,23.62,114
2020-04-25,27.8,13.0,19.7,3.8,6.0,20.3,20.98,115
2020-04-26,25.2,13.2,17.9,3.3,4.0,23.9,23.53,116
2020-04-27,25.4,12.3,18.9,0.2,2.0,15.7,25.24,117
2020-04-28,27.4,11.0,18.8,0.8,2.0,25.5,22.59,118
2020-04-29,26.9,10.2,18.5,0.6,4.0,23.2,22.69,119
2020-04-30,25.9,11.8,17.0,5.6,8.0,24.7,25.55,120
2020-05-01,23.8,9.0,15.6,1.1,4.0,29.2,21.54,121
2020-05-02,25.6,8.6,17.2,0.0,0.0,17.4,27.14,122
2020-05-03,28.8,9.5,19.3,0.0,0.0,20.7,29.87,123
2020-05-04,29.9,11.3,21.3,0.0,0.0,19.1,26.82,124
2020-05-05,28.6,14.2,20.2,3.5,4.0,21.3,24.45,125
2020-05-06,25.5,12.4,17.8,6.7,11.0,28.3,25.26,126
